Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Default,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner
24.745018005371094,52237.1640625,243035.15625,493.16302490234375,105.50845336914062,3.688178539276123,8.176465034484863,22.538082122802734,0.8579131960868835,0.7547409534454346,Master's,Full-time,Single,Yes,No,Education,No
55.116371154785156,111929.328125,151173.125,672.34033203125,68.1686019897461,1.6552631855010986,5.5464372634887695,18.201967239379883,0.6391587257385254,9.611248970031738e-05,High School,Part-time,Single,Yes,No,Education,No
27.707962036132812,47313.2265625,63226.96875,620.7319946289062,100.29422760009766,2.1052017211914062,14.844167709350586,48.21025085449219,0.7423019409179688,3.9249658584594727e-05,High School,Part-time,Married,No,No,Other,No
21.02298927307129,19378.544921875,58654.42578125,568.1923217773438,110.95348358154297,1.507323980331421,16.72162437438965,50.911399841308594,0.7423011064529419,5.960464477539063e-08,Master's,Self-employed,Married,Yes,Yes,Other,No
40.54442596435547,71054.90625,30641.8359375,749.161865234375,118.00096130371094,1.1527128219604492,6.278770446777344,49.623722076416016,0.8539563417434692,0.0,PhD,Part-time,Married,Yes,No,Auto,No
51.10126876831055,111216.0546875,42769.05078125,764.4246215820312,51.417152404785156,3.959562063217163,12.019617080688477,50.50213623046875,0.8141908645629883,2.9206275939941406e-06,Master's,Part-time,Divorced,Yes,No,Auto,Yes
34.20364761352539,115164.9375,94363.6328125,702.2760009765625,31.916677474975586,3.8342671394348145,17.82480812072754,23.15101432800293,0.7217933535575867,0.00030305981636047363,Master's,Part-time,Divorced,No,Yes,Education,Yes
18.611352920532227,15636.197265625,175210.0625,498.7298583984375,111.421142578125,1.1071670055389404,23.726757049560547,44.555091857910156,0.17280474305152893,1.2218952178955078e-06,Bachelor's,Unemployed,Married,No,Yes,Home,No
68.02909088134766,143547.828125,32548.517578125,780.1891479492188,1.6655210256576538,3.990666389465332,11.73873519897461,58.30177688598633,0.28888803720474243,2.4437904357910156e-05,High School,Part-time,Single,Yes,No,Business,Yes
45.67620849609375,66821.859375,106013.2734375,748.7862548828125,16.06926918029785,1.5188891887664795,16.264036178588867,14.295398712158203,0.16528937220573425,0.00012099742889404297,High School,Full-time,Divorced,No,Yes,Business,No
41.77367401123047,79396.3828125,137128.453125,397.6394958496094,108.0137710571289,1.233633279800415,3.4515132904052734,49.52815246582031,0.8854559659957886,0.004466235637664795,High School,Self-employed,Divorced,Yes,No,Other,No
45.27215576171875,95125.7109375,77575.1875,710.90576171875,72.98632049560547,3.851227283477783,10.23371410369873,52.57752227783203,0.83648282289505,2.3990869522094727e-05,Master's,Part-time,Divorced,Yes,No,Auto,Yes
